Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,Overall Rating_home,Attack_home,Midfield_home,Defence_home,Num of Players_home,Build-up Style_home,Overall Rating_away,Attack_away,Midfield_away,Defence_away,Num of Players_away,Build-up Style_away
B1,2019-08-10,19:00,Eupen,Waasland-Beveren,1,1,D,0.0,1.0,A,4.0,7.0,1.0,4.0,17.0,20.0,4.0,7.0,2.0,1.0,0.0,0.0,1.83,3.6,4.2,2019-2020,65.0,65.0,65.0,64.0,26.0,Balanced,65.0,66.0,65.0,64.0,24.0,Long Ball
B1,2019-08-10,19:30,Genk,Waregem,0,2,A,0.0,1.0,A,10.0,8.0,3.0,7.0,16.0,20.0,3.0,2.0,1.0,2.0,0.0,0.0,1.22,6.0,13.0,2019-2020,72.0,72.0,72.0,70.0,25.0,Balanced,68.0,69.0,68.0,67.0,28.0,Balanced
B1,2019-08-11,13:30,St Truiden,Standard,2,1,H,2.0,0.0,H,6.0,25.0,5.0,9.0,16.0,16.0,0.0,5.0,4.0,4.0,0.0,1.0,4.33,3.8,1.72,2019-2020,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,,,,,,
B1,2019-08-11,17:00,Charleroi,Antwerp,2,1,H,0.0,0.0,D,10.0,6.0,4.0,2.0,8.0,20.0,5.0,4.0,0.0,1.0,0.0,0.0,2.55,3.4,2.62,2019-2020,70.0,71.0,70.0,69.0,27.0,Fast Build-Up,71.0,72.0,71.0,70.0,28.0,Long Ball
B1,2019-08-11,19:00,Mouscron,Gent,2,1,H,2.0,1.0,H,6.0,11.0,2.0,4.0,15.0,15.0,2.0,7.0,0.0,1.0,0.0,0.0,3.5,3.75,2.0,2019-2020,64.0,65.0,64.0,63.0,25.0,Long Ball,74.0,75.0,74.0,71.0,27.0,Balanced
B1,2019-08-16,19:30,Club Brugge,Eupen,0,0,D,0.0,0.0,D,11.0,7.0,1.0,3.0,12.0,19.0,7.0,3.0,3.0,4.0,0.0,0.0,1.14,8.0,11.0,2019-2020,75.0,74.0,76.0,72.0,28.0,Balanced,65.0,65.0,65.0,64.0,26.0,Balanced
B1,2019-08-17,17:00,Kortrijk,Anderlecht,4,2,H,0.0,1.0,A,8.0,9.0,5.0,5.0,15.0,21.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,3.5,2.1,2019-2020,,,,,,,72.0,72.0,72.0,71.0,29.0,Balanced
B1,2019-08-17,19:00,Mechelen,Cercle Brugge,3,1,H,0.0,1.0,A,7.0,3.0,4.0,2.0,8.0,22.0,5.0,3.0,0.0,4.0,0.0,0.0,1.4,4.33,9.0,2019-2020,69.0,70.0,69.0,68.0,26.0,Balanced,66.0,67.0,66.0,65.0,25.0,Balanced
B1,2019-08-17,19:30,Waasland-Beveren,Genk,0,4,A,0.0,1.0,A,7.0,16.0,2.0,5.0,14.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,6.5,4.75,1.36,2019-2020,65.0,66.0,65.0,64.0,24.0,Long Ball,72.0,72.0,72.0,70.0,25.0,Balanced
B1,2019-08-18,13:30,Standard,Mouscron,4,1,H,2.0,0.0,H,10.0,2.0,6.0,0.0,8.0,16.0,3.0,4.0,0.0,1.0,0.0,0.0,1.45,4.5,5.25,2019-2020,,,,,,,64.0,65.0,64.0,63.0,25.0,Long Ball
B1,2019-08-18,17:00,Antwerp,St Truiden,2,0,H,1.0,0.0,H,15.0,6.0,4.0,3.0,14.0,13.0,5.0,4.0,0.0,4.0,0.0,1.0,1.45,4.33,5.5,2019-2020,71.0,72.0,71.0,70.0,28.0,Long Ball,67.0,67.0,67.0,66.0,26.0,Fast Build-Up
B1,2019-08-18,19:00,Gent,Oostende,2,0,H,0.0,0.0,D,11.0,5.0,4.0,2.0,6.0,15.0,5.0,4.0,0.0,1.0,0.0,0.0,1.33,5.5,7.5,2019-2020,74.0,75.0,74.0,71.0,27.0,Balanced,67.0,68.0,67.0,66.0,27.0,Long Ball
B1,2019-08-19,19:30,Waregem,Charleroi,3,1,H,1.0,0.0,H,5.0,4.0,3.0,2.0,13.0,15.0,3.0,5.0,2.0,1.0,0.0,0.0,2.8,3.3,2.3,2019-2020,68.0,69.0,68.0,67.0,28.0,Balanced,70.0,71.0,70.0,69.0,27.0,Fast Build-Up
B1,2019-08-23,19:30,Genk,Anderlecht,1,0,H,0.0,0.0,D,6.0,8.0,4.0,2.0,8.0,16.0,5.0,10.0,0.0,1.0,0.0,0.0,1.72,3.8,4.5,2019-2020,72.0,72.0,72.0,70.0,25.0,Balanced,72.0,72.0,72.0,71.0,29.0,Balanced
B1,2019-08-24,19:00,Cercle Brugge,Waasland-Beveren,1,0,H,0.0,0.0,D,7.0,10.0,2.0,2.0,13.0,8.0,3.0,7.0,2.0,1.0,0.0,0.0,2.0,3.6,3.5,2019-2020,66.0,67.0,66.0,65.0,25.0,Balanced,65.0,66.0,65.0,64.0,24.0,Long Ball
B1,2019-08-24,19:00,St Truiden,Waregem,0,0,D,0.0,0.0,D,13.0,8.0,2.0,2.0,15.0,15.0,5.0,4.0,2.0,1.0,0.0,0.0,2.25,3.5,3.0,2019-2020,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,68.0,69.0,68.0,67.0,28.0,Balanced
B1,2019-08-24,19:30,Oostende,Mechelen,2,1,H,0.0,0.0,D,13.0,11.0,8.0,6.0,18.0,12.0,6.0,9.0,2.0,3.0,0.0,0.0,3.1,3.5,2.2,2019-2020,67.0,68.0,67.0,66.0,27.0,Long Ball,69.0,70.0,69.0,68.0,26.0,Balanced
B1,2019-08-25,17:00,Standard,Kortrijk,2,1,H,0.0,1.0,A,8.0,6.0,5.0,2.0,9.0,18.0,7.0,3.0,2.0,3.0,1.0,0.0,1.5,4.5,5.75,2019-2020,,,,,,,,,,,,
B1,2019-08-25,19:00,Mouscron,Eupen,2,0,H,1.0,0.0,H,5.0,6.0,4.0,2.0,17.0,11.0,6.0,6.0,3.0,3.0,0.0,0.0,1.72,3.75,4.5,2019-2020,64.0,65.0,64.0,63.0,25.0,Long Ball,65.0,65.0,65.0,64.0,26.0,Balanced
B1,2019-08-30,19:30,Mechelen,Mouscron,2,2,D,2.0,1.0,H,8.0,10.0,4.0,5.0,13.0,16.0,5.0,7.0,1.0,1.0,0.0,0.0,1.95,3.75,3.5,2019-2020,69.0,70.0,69.0,68.0,26.0,Balanced,64.0,65.0,64.0,63.0,25.0,Long Ball
B1,2019-08-31,17:00,Eupen,St Truiden,0,2,A,0.0,1.0,A,16.0,10.0,6.0,3.0,14.0,7.0,7.0,1.0,2.0,1.0,0.0,0.0,2.3,3.6,2.8,2019-2020,65.0,65.0,65.0,64.0,26.0,Balanced,67.0,67.0,67.0,66.0,26.0,Fast Build-Up
B1,2019-08-31,19:00,Kortrijk,Oostende,2,2,D,0.0,1.0,A,6.0,12.0,3.0,3.0,16.0,15.0,7.0,1.0,1.0,1.0,0.0,0.0,2.05,3.6,3.4,2019-2020,,,,,,,67.0,68.0,67.0,66.0,27.0,Long Ball
B1,2019-08-31,19:30,Waasland-Beveren,Charleroi,0,4,A,0.0,1.0,A,5.0,7.0,1.0,6.0,18.0,11.0,7.0,4.0,1.0,0.0,0.0,0.0,4.0,3.75,1.83,2019-2020,65.0,66.0,65.0,64.0,24.0,Long Ball,70.0,71.0,70.0,69.0,27.0,Fast Build-Up
B1,2019-09-01,13:30,Club Brugge,Genk,1,1,D,1.0,0.0,H,10.0,13.0,5.0,3.0,16.0,13.0,6.0,5.0,2.0,4.0,0.0,0.0,1.75,3.75,4.33,2019-2020,75.0,74.0,76.0,72.0,28.0,Balanced,72.0,72.0,72.0,70.0,25.0,Balanced
