Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,matchday,Home_pre_po,Away_pre_po,home_Public_per,draw_public_per,away_public_per,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
B1,31/10/2020,19:45,Club Brugge,Mechelen,2,2,11,2,16,100,0,0,D,2,1,H,14,10,5,7,15,4,3,2,1,0,0,0,1.25,5.5,11,1.28,6,10,1.25,5.75,10,1.27,6.17,11.6,1.3,5,9.5,1.25,6,10.5,1.33,6.54,11.6,1.26,5.87,10.35
B1,01/11/2020,12:30,Anderlecht,Antwerp,1,0,11,7,1,37.5,37.5,25,H,0,0,D,14,15,4,6,8,9,4,6,0,3,0,0,2.05,3.4,3.5,2.15,3.4,3.4,2.15,3.25,3.25,2.17,3.6,3.44,2.1,3.4,3.3,2.15,3.5,3.25,2.28,3.66,3.5,2.13,3.45,3.28
B1,01/11/2020,17:15,Standard,Oostende,1,0,11,5,10,91.7,8.3,0,H,0,0,D,13,10,2,2,13,19,9,4,1,3,0,0,1.72,4,4.33,1.75,3.8,4.6,1.73,3.55,4.5,1.76,3.91,4.88,1.73,3.6,4.6,1.75,3.75,4.5,1.78,4,4.89,1.74,3.73,4.52
B1,01/11/2020,19:45,Waasland-Beveren,Gent,1,4,11,13,14,0,8.3,91.7,A,0,4,A,14,16,4,9,10,8,7,3,4,0,0,0,5.75,4.75,1.44,5.75,4.75,1.45,5.75,4.5,1.47,6.36,4.69,1.51,6.5,4.4,1.44,6.5,4.8,1.44,6.5,4.86,1.51,5.93,4.64,1.47
B1,02/11/2020,19:45,Waregem,Kortrijk,1,1,11,17,11,8.3,29.2,62.5,D,0,0,D,8,16,2,5,20,8,3,9,2,0,1,0,2.4,3.75,2.7,2.4,3.6,2.65,2.4,3.45,2.65,2.4,3.81,2.82,2.4,3.5,2.7,2.45,3.6,2.7,2.49,3.81,2.82,2.38,3.63,2.7
B1,06/11/2020,19:45,Mechelen,Charleroi,3,3,12,15,1,13,0,87,D,2,1,H,20,9,7,2,9,12,4,6,2,3,0,0,3,3.4,2.3,3,3.5,2.3,2.8,3.35,2.35,2.97,3.75,2.36,2.7,3.5,2.4,2.88,3.6,2.3,3,3.76,2.41,2.87,3.56,2.31
B1,07/11/2020,15:15,Kortrijk,Beerschot VA,5,5,12,11,2,12,20,68,D,2,1,H,23,23,8,12,11,14,6,6,2,2,0,0,2.37,3.6,2.75,2.35,4.2,2.6,2.35,3.75,2.55,2.39,4.24,2.67,2.35,3.8,2.6,2.3,3.9,2.7,2.4,4.28,2.75,2.35,3.93,2.61
B1,07/11/2020,17:30,Eupen,Waasland-Beveren,1,1,12,13,14,70.8,20,8.3,D,0,1,A,25,9,8,3,12,12,14,4,1,2,0,0,1.45,4.33,7,1.48,4.25,7.25,1.47,4.3,6,1.49,4.44,7.48,1.44,4.33,7,1.45,4.5,6.5,1.51,4.76,7.48,1.47,4.39,6.47
B1,07/11/2020,19:45,St Truiden,Genk,1,2,12,16,7,0,20,80,A,1,2,A,15,8,2,5,21,19,11,4,5,2,1,0,3.5,3.5,2,3.7,3.4,2.05,3.4,3.2,2.1,3.61,3.41,2.18,3.6,3.25,2.05,3.4,3.5,2.1,3.7,3.5,2.2,3.45,3.36,2.11
B1,08/11/2020,12:30,Antwerp,Standard,1,1,12,5,3,24,36,40,D,1,0,H,17,10,4,3,4,14,3,3,0,3,0,0,2.25,3.3,3.1,2.3,3.4,3.1,2.25,3.1,3.15,2.29,3.37,3.4,2.25,3.2,3.2,2.3,3.3,3.13,2.3,3.52,3.45,2.24,3.28,3.21
B1,08/11/2020,15:00,Oostende,Club Brugge,1,3,12,10,4,0,0,100,A,1,1,D,14,15,5,7,10,8,4,8,3,0,1,0,4.33,4,1.7,4.5,4,1.72,4.1,3.7,1.77,4.39,4.06,1.8,4.33,3.8,1.73,4.2,4,1.75,4.5,4.16,1.82,4.18,3.93,1.75
B1,08/11/2020,17:15,Gent,Anderlecht,1,1,12,12,6,48,12,40,D,0,1,A,8,10,3,3,20,13,2,7,3,4,0,0,2.25,3.5,2.9,2.3,3.5,3,2.3,3.3,2.9,2.36,3.6,3.06,2.25,3.6,2.9,2.3,3.6,2.88,2.42,3.86,3.07,2.28,3.51,2.91
B1,08/11/2020,19:45,Cercle Brugge,Waregem,1,3,12,9,18,80,20,0,A,0,2,A,14,16,5,6,8,13,4,8,3,3,0,0,1.9,3.75,3.6,2.05,4.1,3.1,2,3.65,3.25,2.05,4.09,3.36,2,3.6,3.4,1.95,3.9,3.4,2.07,4.19,3.6,1.99,3.89,3.28
B1,21/11/2020,15:15,Standard,Eupen,2,2,13,5,13,100,0,0,D,1,1,D,14,11,6,5,11,22,3,3,2,0,1,0,1.65,3.75,5.25,1.65,3.8,5.5,1.65,3.6,5,1.68,3.9,5.59,1.62,3.75,5.5,1.65,3.8,5.25,1.68,4,5.62,1.65,3.79,5.15
B1,21/11/2020,17:30,Oostende,Antwerp,1,1,13,11,6,3.8,7.7,88.5,D,0,0,D,14,12,3,5,13,8,7,5,1,1,0,0,3.1,3.5,2.15,3.1,3.5,2.15,2.85,3.4,2.25,3.04,3.82,2.29,3,3.5,2.2,3,3.5,2.25,3.1,3.82,2.31,2.96,3.55,2.24
B1,21/11/2020,17:30,Waasland-Beveren,Cercle Brugge,0,2,13,14,10,3.8,23.1,73.1,A,0,1,A,12,9,5,5,11,11,5,7,4,3,1,0,3.1,3.9,2.05,3.2,3.8,2.1,3.2,3.6,2.05,3.32,4.08,2.07,2.9,3.6,2.25,3.25,3.8,2.05,3.32,4.08,2.12,3.21,3.81,2.04
B1,21/11/2020,19:45,Club Brugge,Kortrijk,1,0,13,1,9,100,0,0,H,0,0,D,17,5,4,2,8,18,7,2,0,3,0,0,1.28,5.75,9,1.3,6,8.75,1.3,5.5,8.5,1.3,5.93,10.4,1.29,5.25,10,1.29,5.5,10,1.31,6.15,10.4,1.29,5.64,9.1
B1,22/11/2020,12:30,Beerschot VA,Anderlecht,2,1,13,3,8,26.9,34.6,38.5,H,1,0,H,13,13,10,2,21,17,5,3,2,2,0,0,3,3.75,2.15,2.9,3.8,2.25,2.8,3.65,2.25,2.94,3.96,2.3,2.88,3.75,2.2,2.88,3.8,2.25,3,4.04,2.3,2.85,3.79,2.23
B1,22/11/2020,15:00,Waregem,Mechelen,1,2,13,15,16,50,23.1,26.6,A,0,1,A,5,9,1,3,11,26,3,4,0,2,0,0,2.8,3.5,2.37,2.8,3.7,2.35,2.7,3.45,2.35,2.83,3.84,2.42,2.75,3.5,2.35,2.75,3.6,2.4,2.83,3.85,2.48,2.72,3.63,2.36
B1,22/11/2020,17:15,Charleroi,Gent,0,1,13,2,12,57.7,7.7,34.6,A,0,1,A,5,9,3,4,10,18,3,4,1,2,0,0,2,3.6,3.5,2.05,3.4,3.7,2.05,3.3,3.45,2.07,3.53,3.81,2.05,3.5,3.4,2.05,3.6,3.4,2.1,3.76,3.81,2.04,3.46,3.5
B1,22/11/2020,19:45,Genk,Mouscron,4,1,13,4,18,96.2,0,3.8,H,1,1,D,15,17,10,3,10,22,5,3,1,4,0,0,1.36,4.75,7.5,1.42,5,7,1.43,4.4,6.5,1.42,4.96,7.53,1.4,4.5,7.5,1.4,4.75,7.5,1.46,5.11,7.53,1.4,4.74,6.96
B1,23/11/2020,19:45,Oud-Heverlee Leuven,St Truiden,2,2,13,7,17,88.5,7.7,3.8,D,1,1,D,18,10,7,3,16,19,4,1,1,4,0,0,1.9,3.8,3.5,2,3.75,3.5,1.97,3.45,3.45,2.02,3.7,3.72,1.95,3.6,3.6,1.95,3.7,3.6,2.02,3.88,3.75,1.97,3.62,3.54
B1,24/11/2020,16:00,Waasland-Beveren,Oostende,2,0,9,17,9,14.3,32.1,53.6,H,0,0,D,14,12,5,2,10,13,2,6,2,2,0,0,6.5,4.5,1.5,5.5,4.25,1.53,5.25,4.1,1.53,5.65,4.56,1.57,4.2,3.9,1.75,6,4.5,1.5,6.5,4.6,1.58,5.51,4.37,1.54
B1,25/11/2020,16:00,Cercle Brugge,Mouscron,1,2,10,6,18,87.5,12.5,0,A,0,0,D,13,9,3,2,12,11,4,5,4,2,0,0,1.66,4,4.75,1.67,4,4.5,1.7,3.75,4.4,1.72,4.02,5.01,1.7,3.7,4.75,1.7,3.9,4.6,1.74,4.11,5.13,1.7,3.91,4.57
B1,27/11/2020,19:45,Eupen,Charleroi,3,1,14,13,4,0,16.7,83.3,H,1,0,H,6,15,3,2,14,11,6,3,1,5,0,0,3.1,3.5,2.2,3.1,3.5,2.25,3.05,3.25,2.25,3.17,3.57,2.31,3.4,3.5,2.05,2.9,3.5,2.3,3.35,3.64,2.33,3.07,3.43,2.25
B1,28/11/2020,15:15,St Truiden,Waasland-Beveren,1,1,14,17,15,84,16,0,D,1,0,H,8,14,4,4,14,13,10,7,3,1,0,0,1.75,3.8,4.33,1.75,4,4.33,1.8,3.7,4,1.79,4.16,4.29,1.78,3.7,4.2,1.8,3.9,4,1.83,4.16,4.33,1.78,3.91,4.05
B1,28/11/2020,17:30,Cercle Brugge,Genk,1,5,14,9,3,0,4.2,95.8,A,0,4,A,8,18,2,11,9,5,2,6,2,0,0,0,3.5,3.75,1.9,3.3,3.8,2.05,3.35,3.6,1.97,3.62,3.97,2,3.25,3.6,2.05,3.4,3.8,2,3.62,3.97,2.06,3.4,3.77,1.98
B1,28/11/2020,19:45,Mouscron,Club Brugge,0,0,14,18,1,0,0,100,D,0,0,D,4,14,3,1,20,15,1,4,2,3,0,0,9.5,5,1.33,9,5.25,1.34,8.25,4.9,1.33,9.17,5.3,1.36,9,4.75,1.33,10,5,1.3,10,5.36,1.37,8.57,5.11,1.33
B1,29/11/2020,12:30,Mechelen,Beerschot VA,2,3,14,14,2,10.7,21.4,67.9,A,2,1,H,12,9,3,5,12,11,3,2,4,2,1,0,2.1,3.75,3.1,2.2,3.75,3,2.15,3.55,3,2.18,4.03,3.11,2.2,3.6,3,2.15,3.75,3,2.28,4.09,3.12,2.15,3.78,2.98
B1,29/11/2020,15:00,Gent,Waregem,0,3,14,10,16,96.4,3.6,0,A,0,2,A,13,10,4,5,15,8,8,0,1,1,0,0,1.5,4.5,6,1.5,4.6,6,1.5,4.4,5.5,1.5,4.85,6.03,1.5,4.33,5.8,1.5,4.6,5.75,1.52,4.85,6.07,1.49,4.61,5.68
B1,29/11/2020,17:15,Anderlecht,Standard,0,0,14,8,5,46.4,46.4,7.1,D,0,0,D,7,12,1,3,14,11,2,6,2,2,0,0,2.1,3.5,3.4,2.15,3.75,3.1,2.15,3.35,3.1,2.24,3.6,3.29,2.15,3.4,3.2,2.15,3.5,3.2,2.28,3.75,3.4,2.17,3.49,3.13
B1,29/11/2020,19:45,Kortrijk,Oostende,3,1,14,12,11,32.1,39.3,28.6,H,1,1,D,19,15,10,9,11,12,5,6,0,3,0,0,2.25,3.75,2.8,2.2,3.6,3.1,2.25,3.4,2.9,2.25,3.74,3.1,2.3,3.4,2.9,2.3,3.6,2.9,2.3,3.75,3.12,2.22,3.58,2.97
B1,30/11/2020,19:45,Antwerp,Oud-Heverlee Leuven,3,2,14,6,7,89.7,6.9,3.4,H,2,2,D,29,16,9,4,9,20,11,2,3,5,0,0,1.6,4.2,5.25,1.6,4.4,5,1.6,4,4.8,1.63,4.31,5.28,1.57,4.2,5,1.62,4.2,5,1.63,4.46,5.28,1.6,4.23,4.96
B1,01/12/2020,16:00,Mouscron,St Truiden,3,2,11,18,15,5.3,47.4,47.4,H,1,0,H,10,18,6,7,12,13,2,8,3,3,0,0,2.9,3.4,2.4,3,3.5,2.3,2.85,3,2.45,3.01,3.34,2.52,2.9,3.2,2.45,2.9,3.25,2.45,3.05,3.5,2.54,2.92,3.24,2.43
B1,02/12/2020,16:00,Charleroi,Waasland-Beveren,0,2,10,2,15,100,0,0,A,0,1,A,11,11,4,4,14,9,4,7,1,3,1,0,1.28,5.75,9,1.3,5.5,10.5,1.3,5,8.5,1.3,5.79,10.96,1.27,5.25,11,1.29,5.5,10,1.33,5.94,11,1.3,5.44,9.35
B1,03/12/2020,16:00,Eupen,Mechelen,1,1,10,12,14,48,36,16,D,1,0,H,10,25,3,6,7,7,2,8,0,2,0,0,2.45,3.25,2.87,2.55,3.25,2.85,2.5,3.1,2.75,2.64,3.37,2.84,2.45,3.3,2.75,2.5,3.4,2.75,2.64,3.58,2.87,2.51,3.31,2.76
B1,04/12/2020,19:45,Waregem,Anderlecht,2,2,15,14,8,7.1,7.1,85.7,D,1,1,D,8,21,2,6,13,12,1,4,1,2,0,0,3.8,4,1.8,3.5,4.1,1.91,3.65,3.75,1.85,3.75,4.31,1.88,3.4,3.9,1.91,3.8,4,1.83,3.8,4.31,1.91,3.65,4.03,1.85
B1,05/12/2020,15:15,Waasland-Beveren,Mouscron,2,0,15,16,18,54.8,38.7,6.5,H,0,0,D,12,6,5,2,9,8,7,2,1,2,0,0,2.2,3.5,3.1,2.3,3.6,2.95,2.3,3.3,2.85,2.4,3.51,3.07,2.35,3.3,2.9,2.3,3.4,3,2.42,3.6,3.1,2.31,3.43,2.94
B1,05/12/2020,17:30,Oud-Heverlee Leuven,Cercle Brugge,2,1,15,7,10,71,29,0,H,1,0,H,11,15,4,5,10,11,1,5,2,2,1,0,2.15,3.75,3.1,2.15,3.8,3.1,2.2,3.55,2.9,2.21,3.88,3.14,2.2,3.6,3,2.15,3.75,3,2.28,3.88,3.15,2.17,3.72,2.98
B1,05/12/2020,19:45,Club Brugge,St Truiden,1,0,15,3,17,100,0,0,H,0,0,D,16,6,5,3,11,6,3,3,0,1,0,0,1.2,6.5,11,1.22,6.75,11.5,1.25,6,10,1.24,6.74,11.77,1.22,6,12,1.22,6.5,11.5,1.26,6.99,12,1.23,6.44,10.8
B1,06/12/2020,12:30,Genk,Antwerp,4,2,15,2,4,65.6,25,9.4,H,2,1,H,20,10,10,2,8,12,5,4,1,3,0,0,2.15,3.4,3.2,2.2,3.6,3.1,2.2,3.3,3.05,2.26,3.54,3.29,2.15,3.5,3.1,2.2,3.5,3.13,2.31,3.6,3.29,2.2,3.44,3.12
B1,06/12/2020,15:00,Beerschot VA,Eupen,0,1,15,1,11,77.4,3.2,19.4,A,0,1,A,19,18,4,8,8,15,11,7,3,2,0,0,1.83,4,3.75,1.87,4.2,3.6,1.9,3.8,3.35,1.95,4.13,3.65,1.91,3.8,3.5,1.9,4,3.5,1.96,4.3,3.75,1.9,4.01,3.46
B1,06/12/2020,17:15,Standard,Mechelen,2,2,15,5,15,90.9,9.1,0,D,1,0,H,17,14,5,9,10,13,7,4,2,1,0,0,2.05,3.5,3.4,2.05,3.6,3.5,2.1,3.3,3.2,2.17,3.65,3.41,1.91,3.5,3.8,2.1,3.5,3.4,2.2,3.65,3.5,2.1,3.5,3.3
B1,06/12/2020,19:45,Oostende,Gent,2,1,15,13,12,15.6,43.2,40.6,H,0,1,A,7,7,3,2,10,19,3,6,2,4,0,0,3,3.6,2.2,2.95,3.7,2.25,2.85,3.55,2.2,3.04,3.99,2.23,2.9,3.7,2.2,2.9,3.7,2.25,3.05,3.99,2.28,2.93,3.7,2.2
B1,07/12/2020,19:45,Charleroi,Kortrijk,0,0,15,6,9,84.4,9.4,6.3,D,0,0,D,1,13,0,6,12,11,7,7,4,2,0,0,1.72,3.6,5,1.75,3.75,4.75,1.73,3.45,4.7,1.76,3.67,5.12,1.67,3.7,5,1.73,3.8,4.6,1.79,4.01,5.16,1.73,3.66,4.7
B1,08/12/2020,16:00,Oud-Heverlee Leuven,Mouscron,2,0,12,8,17,92.3,7.7,0,H,0,0,D,11,8,3,5,9,18,2,2,0,5,0,0,1.75,3.75,4.5,1.78,3.8,4.4,1.77,3.8,4,1.8,3.93,4.56,1.8,3.5,4.33,1.8,3.8,4.33,1.83,3.94,4.6,1.78,3.78,4.25
B1,11/12/2020,19:45,Anderlecht,Genk,1,0,16,8,1,21.9,28.1,50,H,0,0,D,15,4,5,1,19,12,7,5,3,3,0,0,2.62,3.5,2.5,2.55,3.7,2.55,2.55,3.35,2.5,2.64,3.73,2.63,2.7,3.4,2.5,2.55,3.6,2.55,2.67,3.74,2.64,2.58,3.57,2.52
B1,12/12/2020,15:15,Mouscron,Beerschot VA,3,1,16,18,3,3,9.1,87.9,H,1,0,H,16,11,7,2,13,9,2,7,0,2,0,0,3.75,3.9,1.85,3.6,3.8,1.95,3.45,3.65,1.9,3.54,4.22,1.96,3.6,3.6,1.95,3.7,3.8,1.9,3.75,4.22,1.97,3.51,3.87,1.91
B1,12/12/2020,17:30,Cercle Brugge,Oostende,0,1,16,12,11,45.5,39.4,15.2,A,0,1,A,8,14,4,4,12,9,3,3,4,0,1,0,2.87,3.5,2.3,2.8,3.7,2.35,2.8,3.4,2.3,2.92,3.82,2.36,2.88,3.5,2.3,2.88,3.6,2.3,2.96,3.82,2.4,2.83,3.6,2.31
B1,12/12/2020,17:30,Kortrijk,Oud-Heverlee Leuven,0,3,16,9,5,66.7,21.2,12.1,A,0,0,D,20,10,5,4,13,13,12,1,2,1,0,0,2,3.6,3.5,2.05,3.6,3.5,2.05,3.4,3.25,2.11,3.68,3.54,2.1,3.5,3.2,2.05,3.6,3.4,2.13,3.9,3.54,2.05,3.6,3.33
B1,12/12/2020,19:45,St Truiden,Charleroi,1,2,16,17,7,3,12.1,84.8,A,1,1,D,17,11,3,4,5,17,9,5,2,2,1,0,3,3.6,2.2,3.1,3.5,2.25,2.95,3.3,2.25,3.11,3.66,2.31,3,3.4,2.25,3.1,3.4,2.25,3.24,3.66,2.31,3.02,3.47,2.24
B1,13/12/2020,12:30,Antwerp,Club Brugge,0,2,16,4,2,9.1,36.4,54.5,A,0,1,A,9,13,1,5,11,15,2,9,3,1,1,0,3.1,3.5,2.2,3.1,3.6,2.2,2.95,3.35,2.25,3.09,3.64,2.33,3.1,3.4,2.2,3,3.5,2.25,3.15,3.71,2.33,3,3.51,2.24
B1,13/12/2020,17:15,Gent,Standard,2,1,16,13,6,12.1,30.3,57.6,H,1,1,D,14,8,6,3,23,9,3,3,0,1,0,0,2.15,3.3,3.25,2.2,3.5,3.2,2.2,3.4,2.95,2.25,3.71,3.12,2.25,3.4,3,2.25,3.5,3,2.32,3.71,3.25,2.21,3.5,3.04
B1,13/12/2020,19:45,Mechelen,Waasland-Beveren,2,3,16,16,15,69.7,24.2,6.1,A,1,0,H,12,10,5,5,13,11,3,1,0,0,1,0,1.44,4.5,6.5,1.44,4.75,7,1.43,4.6,6,1.43,4.96,6.46,1.47,4.4,6,1.4,4.8,7,1.5,5.05,7,1.43,4.77,6.32
B1,15/12/2020,17:45,Cercle Brugge,Charleroi,3,4,18,13,3,11.1,11.1,77.8,A,2,0,H,10,21,5,7,13,13,2,9,3,2,1,0,3.25,3.6,2.1,3.2,3.5,2.2,3.25,3.45,2.15,3.41,3.64,2.15,3.2,3.4,2.15,3.25,3.6,2.1,3.41,3.65,2.2,3.24,3.52,2.12
B1,15/12/2020,17:45,Mouscron,Oud-Heverlee Leuven,2,2,18,17,6,7.4,29.6,63,D,0,1,A,17,12,7,9,9,9,6,4,5,2,0,0,2.9,3.6,2.2,3,3.7,2.25,2.95,3.4,2.3,3.08,3.59,2.33,2.9,3.4,2.3,3,3.5,2.25,3.1,3.7,2.33,2.97,3.49,2.27
B1,15/12/2020,20:00,Anderlecht,Oostende,2,1,18,7,9,96.6,3.4,0,H,1,0,H,9,14,5,3,12,16,2,3,0,3,1,0,1.8,3.8,4,1.75,3.8,4.6,1.83,3.65,4.1,1.85,3.76,4.33,1.8,3.6,4.2,1.83,3.75,4.1,1.86,3.9,4.6,1.82,3.71,4.11
B1,16/12/2020,17:45,Antwerp,Waregem,0,1,18,5,14,93.1,3.4,3.4,A,0,1,A,11,17,2,5,11,11,2,4,2,3,0,0,1.5,4.33,6,1.53,4.4,6,1.53,4.4,5.5,1.54,4.41,6.46,1.5,4.2,6,1.5,4.5,5.75,1.55,4.6,6.46,1.51,4.38,5.75
B1,16/12/2020,20:00,Gent,Waasland-Beveren,3,0,18,10,15,86.2,10.3,3.4,H,1,0,H,17,9,7,1,12,17,4,4,1,2,0,0,1.44,4.75,6.5,1.44,4.75,6.75,1.43,4.7,6.25,1.43,5.02,6.81,1.42,4.6,7,1.44,4.75,6.5,1.46,5.04,6.84,1.43,4.76,6.44
B1,16/12/2020,20:00,Kortrijk,Standard,2,1,18,12,8,3.4,6.9,89.7,H,2,0,H,10,17,4,6,12,17,6,5,3,1,0,0,3,3.6,2.15,3.1,3.6,2.2,3.1,3.45,2.2,3.2,3.66,2.26,3,3.4,2.25,3,3.5,2.25,3.2,3.66,2.33,3.06,3.5,2.21
B1,17/12/2020,19:45,Mechelen,Club Brugge,0,3,18,16,2,3.4,3.4,93.1,A,0,0,D,10,21,3,8,10,11,6,3,3,0,0,0,5.25,3.8,1.65,4.75,3.9,1.72,4.5,3.9,1.7,4.59,4.02,1.74,4.6,3.9,1.67,4.6,3.9,1.7,5.25,4.2,1.74,4.5,3.94,1.7
B1,18/12/2020,19:45,Charleroi,Anderlecht,1,0,17,5,6,18.5,29.6,51.9,H,0,0,D,10,7,4,2,15,12,3,3,3,0,0,0,2.87,3.3,2.37,2.95,3.3,2.45,2.95,3.2,2.4,3.04,3.32,2.49,2.7,3.3,2.5,2.9,3.3,2.4,3.05,3.37,2.61,2.91,3.24,2.44
B1,19/12/2020,17:30,Waregem,St Truiden,0,2,17,14,18,71,25.8,3.2,A,0,0,D,12,11,1,6,17,16,6,4,4,2,1,0,2.2,3.6,2.9,2.2,3.5,3.2,2.3,3.45,2.95,2.31,3.63,3.02,2.25,3.4,3,2.25,3.5,3,2.31,3.74,3.2,2.25,3.53,2.97
B1,19/12/2020,19:45,Genk,Kortrijk,2,0,17,2,10,100,0,0,H,1,0,H,13,7,5,1,14,16,4,1,1,2,0,0,1.55,4.75,4.75,1.6,4.4,5,1.6,4.1,5.25,1.63,4.2,5.26,1.6,3.9,5.25,1.6,4.2,5.25,1.63,4.75,5.52,1.6,4.15,5.11
B1,20/12/2020,12:30,Club Brugge,Gent,0,1,17,1,12,100,0,0,A,0,0,D,22,6,9,2,13,18,15,0,3,3,0,0,1.57,3.8,6,1.57,3.9,6.25,1.6,4,5.25,1.59,4.04,5.97,1.57,3.8,5.8,1.6,4,5.5,1.63,4.15,6.25,1.59,3.98,5.4
B1,20/12/2020,15:00,Oud-Heverlee Leuven,Mechelen,1,2,17,4,16,80,16.7,3.3,A,0,2,A,12,29,5,12,12,12,3,3,3,4,0,0,2.4,3.8,2.55,2.5,3.6,2.7,2.5,3.4,2.6,2.55,3.51,2.76,2.55,3.5,2.55,2.55,3.4,2.7,2.6,3.8,2.79,2.51,3.46,2.64
B1,20/12/2020,17:15,Standard,Mouscron,0,1,17,8,17,93.3,6.7,0,A,0,1,A,13,10,6,4,13,14,5,1,4,1,0,0,1.4,4.33,8,1.44,4.33,8,1.4,4.7,7.5,1.4,4.87,7.94,1.4,4.4,8,1.4,4.6,8,1.44,4.9,8,1.4,4.63,7.33
B1,20/12/2020,19:45,Waasland-Beveren,Antwerp,0,3,17,15,7,6.7,10,83.3,A,0,3,A,9,16,1,7,16,14,5,7,1,4,0,0,4.2,3.8,1.72,4.2,3.9,1.8,4.1,3.8,1.8,4.18,3.96,1.82,4.2,3.7,1.78,4.1,3.8,1.8,4.35,4.05,1.83,4.11,3.83,1.78
B1,26/12/2020,13:00,Club Brugge,Eupen,3,0,19,2,13,100,0,0,H,0,0,D,14,9,6,2,9,16,12,2,0,2,1,0,1.2,6.5,13,1.18,6.75,13.5,1.2,6.75,14,1.18,7.71,13.87,1.17,6.5,17,1.17,7,17,1.2,8,17,1.18,6.95,13.99
B1,26/12/2020,15:15,Waregem,Cercle Brugge,1,0,19,12,14,37.5,41.7,20.8,H,0,0,D,7,14,3,3,17,15,5,7,3,2,0,0,2,3.75,3.4,2.15,3.3,3.3,2.1,3.45,3.3,2.16,3.5,3.45,2.05,3.5,3.3,2.05,3.6,3.4,2.17,3.82,3.6,2.1,3.49,3.32
B1,26/12/2020,17:30,Kortrijk,Gent,1,0,19,11,8,4.2,16.7,79.2,H,0,0,D,9,13,5,6,21,8,4,3,3,0,0,1,3.25,3.5,2.1,3.1,3.4,2.2,3.1,3.5,2.2,3.26,3.61,2.19,3.1,3.4,2.2,3,3.6,2.25,3.29,3.78,2.25,3.1,3.52,2.19
B1,26/12/2020,17:30,Oud-Heverlee Leuven,Oostende,1,2,19,5,10,87.5,0,12.5,A,1,0,H,9,20,4,6,12,9,4,9,1,3,0,0,2.6,3.5,2.6,2.55,3.3,2.7,2.5,3.45,2.6,2.55,3.6,2.71,2.5,3.5,2.6,2.55,3.5,2.63,2.6,3.74,2.71,2.52,3.48,2.63
B1,26/12/2020,19:45,Standard,St Truiden,1,2,19,9,17,88,8,4,A,0,2,A,18,9,7,5,19,14,7,3,2,2,0,1,1.6,3.75,6,1.6,3.8,5.5,1.63,4,5,1.64,4.14,5.24,1.62,3.8,5.25,1.62,4,5.25,1.66,4.2,6,1.62,4,5.09
B1,27/12/2020,12:30,Antwerp,Charleroi,2,1,19,7,3,56.5,26.1,17.4,H,0,0,D,17,6,6,1,13,12,8,2,1,1,0,0,2.05,3.4,3.6,2.05,3.4,3.5,2.05,3.4,3.55,2.04,3.58,3.7,2.05,3.3,3.6,2,3.5,3.7,2.13,3.58,3.7,2.03,3.45,3.54
B1,27/12/2020,15:00,Genk,Waasland-Beveren,1,1,19,1,15,100,0,0,D,1,1,D,13,8,2,2,9,11,6,5,0,3,0,0,1.28,5.5,9.5,1.3,5.5,8.75,1.3,5.75,8.75,1.29,5.88,10.36,1.29,5.25,10,1.29,5.75,9.5,1.31,6,10.41,1.29,5.62,9.11
B1,27/12/2020,17:15,Anderlecht,Beerschot VA,2,0,19,6,4,84.6,11.5,3.8,H,1,0,H,27,8,6,2,9,20,7,1,1,4,0,0,1.7,4,4.5,1.75,3.9,4.2,1.75,4.1,4,1.75,4.35,4.13,1.73,4,4.2,1.7,4.2,4.33,1.8,4.36,4.5,1.73,4.12,4.08
B1,27/12/2020,19:45,Mechelen,Mouscron,2,1,19,16,18,57.7,30.8,11.5,H,1,0,H,10,16,5,6,8,15,5,3,0,1,0,0,1.57,3.8,6.5,1.57,4,5.5,1.6,4,5.25,1.59,4.24,5.59,1.57,3.9,5.5,1.57,4.1,5.5,1.63,4.35,6.5,1.58,4.08,5.31
B1,29/12/2020,19:45,Eupen,Waregem,2,3,16,10,14,68.6,22.9,8.6,A,1,0,H,17,16,7,9,21,8,3,6,3,2,0,0,1.9,3.6,3.75,2,3.6,3.7,1.95,3.55,3.65,2,3.67,3.8,1.95,3.4,3.75,2,3.6,3.6,2.04,3.75,4,1.98,3.52,3.67
B1,30/12/2020,19:45,St Truiden,Beerschot VA,1,0,18,18,4,12.9,16.1,71,H,1,0,H,9,12,3,4,10,14,6,3,3,0,0,0,2.25,3.5,3,2.35,3.6,2.75,2.3,3.55,2.8,2.34,3.76,2.89,2.35,3.5,2.8,2.3,3.6,2.88,2.44,3.8,3,2.31,3.62,2.82
B1,06/01/2021,19:45,Eupen,Genk,1,4,18,11,1,2.9,0,97.1,A,1,2,A,20,9,3,4,15,10,6,1,3,1,0,0,3.6,3.75,1.9,3.4,3.9,2,3.55,3.6,1.97,3.68,3.76,1.99,3.5,3.5,2,3.6,3.75,1.95,3.8,3.9,2.01,3.53,3.69,1.97
