Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Hour,FTR_numeric,Year,Month,Day,HomeTeam_enc,AwayTeam_enc,DayOfWeek_Num,FTR_category,Result,Season,Team_Home,Overall Rating_Home,Attack_Home,Midfield_Home,Defence_Home,Num of Players_Home,Build-up Style_Home,Team_Away,Overall Rating_Away,Attack_Away,Midfield_Away,Defence_Away,Num of Players_Away,Build-up Style_Away,HomeTeam_Advantage,HomeTeam_Form,AwayTeam_Form
B1,2019-08-04,Antwerp,Waasland-Beveren,4,1,H,15.0,10.0,11.0,6.0,20.0,11.0,6.0,4.0,0.0,2.0,0.0,0.0,1.33,5.0,9.0,19,1,2019,8,4,1,19,1,Home Win,Home Win,2019-2020,Antwerp,71.0,72.0,71.0,70.0,28.0,Long Ball,Waasland-Beveren,65.0,66.0,65.0,64.0,24.0,Long Ball,,100.0,0.0
B1,2019-08-09,Anderlecht,Mechelen,0,0,D,12.0,1.0,4.0,0.0,12.0,11.0,8.0,1.0,0.0,2.0,0.0,1.0,1.75,4.2,4.0,19,0,2019,8,9,0,10,6,Draw,Draw,2019-2020,Anderlecht,72.0,72.0,72.0,71.0,29.0,Balanced,Mechelen,69.0,70.0,69.0,68.0,26.0,Balanced,0.0,16.666666666666664,100.0
B1,2019-08-10,Oostende,Club Brugge,0,2,A,8.0,10.0,4.0,8.0,11.0,17.0,3.0,6.0,0.0,0.0,0.0,0.0,7.0,4.2,1.45,17,2,2019,8,10,12,5,7,Away Win,Away Win,2019-2020,Oostende,67.0,68.0,67.0,66.0,27.0,Long Ball,Club Brugge,75.0,74.0,76.0,72.0,28.0,Balanced,100.0,100.0,100.0
B1,2019-08-10,Cercle Brugge,Kortrijk,1,3,A,13.0,11.0,6.0,9.0,17.0,18.0,2.0,3.0,1.0,1.0,0.0,0.0,2.5,3.5,2.62,19,2,2019,8,10,3,9,7,Away Win,Away Win,2019-2020,Cercle Brugge,66.0,67.0,66.0,65.0,25.0,Balanced,,69.64389067524115,70.3330689928628,69.83108643933386,68.45757335448057,26.94528152260111,Balanced,0.0,0.0,16.666666666666664
B1,2019-08-10,Eupen,Waasland-Beveren,1,1,D,4.0,7.0,1.0,4.0,17.0,20.0,4.0,7.0,2.0,1.0,0.0,0.0,1.83,3.6,4.2,19,0,2019,8,10,6,19,7,Draw,Draw,2019-2020,Eupen,65.0,65.0,65.0,64.0,26.0,Balanced,Waasland-Beveren,65.0,66.0,65.0,64.0,24.0,Long Ball,0.0,0.0,0.0
B1,2019-08-10,Genk,Waregem,0,2,A,10.0,8.0,3.0,7.0,16.0,20.0,3.0,2.0,1.0,2.0,0.0,0.0,1.22,6.0,13.0,19,2,2019,8,10,7,20,7,Away Win,Away Win,2019-2020,Genk,72.0,72.0,72.0,70.0,25.0,Balanced,Waregem,68.0,69.0,68.0,67.0,28.0,Balanced,100.0,50.0,0.0
B1,2019-08-11,St Truiden,Standard,2,1,H,6.0,25.0,5.0,9.0,16.0,16.0,0.0,5.0,4.0,4.0,0.0,1.0,4.33,3.8,1.72,13,1,2019,8,11,16,18,1,Home Win,Home Win,2019-2020,St Truiden,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,,69.64389067524115,70.3330689928628,69.83108643933386,68.45757335448057,26.94528152260111,Balanced,0.0,0.0,100.0
B1,2019-08-11,Charleroi,Antwerp,2,1,H,10.0,6.0,4.0,2.0,8.0,20.0,5.0,4.0,0.0,1.0,0.0,0.0,2.55,3.4,2.62,17,1,2019,8,11,4,1,1,Home Win,Home Win,2019-2020,Charleroi,70.0,71.0,70.0,69.0,27.0,Fast Build-Up,Antwerp,71.0,72.0,71.0,70.0,28.0,Long Ball,33.33333333333333,33.33333333333333,100.0
B1,2019-08-11,Mouscron,Gent,2,1,H,6.0,11.0,2.0,4.0,15.0,15.0,2.0,7.0,0.0,1.0,0.0,0.0,3.5,3.75,2.0,19,1,2019,8,11,11,8,1,Home Win,Home Win,2019-2020,Mouscron,64.0,65.0,64.0,63.0,25.0,Long Ball,Gent,74.0,75.0,74.0,71.0,27.0,Balanced,33.33333333333333,66.66666666666666,66.66666666666666
B1,2019-08-16,Club Brugge,Eupen,0,0,D,11.0,7.0,1.0,3.0,12.0,19.0,7.0,3.0,3.0,4.0,0.0,0.0,1.14,8.0,11.0,19,0,2019,8,16,5,6,6,Draw,Draw,2019-2020,Club Brugge,75.0,74.0,76.0,72.0,28.0,Balanced,Eupen,65.0,65.0,65.0,64.0,26.0,Balanced,100.0,100.0,11.11111111111111
B1,2019-08-17,Kortrijk,Anderlecht,4,2,H,8.0,9.0,5.0,5.0,15.0,21.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,3.5,2.1,17,1,2019,8,17,9,0,7,Home Win,Home Win,2019-2020,,69.65567176186646,70.34285714285714,69.84285714285714,68.46746031746032,26.95,Balanced,Anderlecht,72.0,72.0,72.0,71.0,29.0,Balanced,33.33333333333333,44.44444444444444,22.22222222222222
B1,2019-08-17,Mechelen,Cercle Brugge,3,1,H,7.0,3.0,4.0,2.0,8.0,22.0,5.0,3.0,0.0,4.0,0.0,0.0,1.4,4.33,9.0,19,1,2019,8,17,10,3,7,Home Win,Home Win,2019-2020,Mechelen,69.0,70.0,69.0,68.0,26.0,Balanced,Cercle Brugge,66.0,67.0,66.0,65.0,25.0,Balanced,100.0,77.77777777777779,0.0
B1,2019-08-17,Waasland-Beveren,Genk,0,4,A,7.0,16.0,2.0,5.0,14.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,6.5,4.75,1.36,19,2,2019,8,17,19,7,7,Away Win,Away Win,2019-2020,Waasland-Beveren,65.0,66.0,65.0,64.0,24.0,Long Ball,Genk,72.0,72.0,72.0,70.0,25.0,Balanced,0.0,11.11111111111111,33.33333333333333
B1,2019-08-18,Standard,Mouscron,4,1,H,10.0,2.0,6.0,0.0,8.0,16.0,3.0,4.0,0.0,1.0,0.0,0.0,1.45,4.5,5.25,13,1,2019,8,18,18,11,1,Home Win,Home Win,2019-2020,,69.65567176186646,70.34285714285714,69.84285714285714,68.46746031746032,26.95,Balanced,Mouscron,64.0,65.0,64.0,63.0,25.0,Long Ball,100.0,66.66666666666666,77.77777777777779
B1,2019-08-18,Antwerp,St Truiden,2,0,H,15.0,6.0,4.0,3.0,14.0,13.0,5.0,4.0,0.0,4.0,0.0,1.0,1.45,4.33,5.5,17,1,2019,8,18,1,16,1,Home Win,Home Win,2019-2020,Antwerp,71.0,72.0,71.0,70.0,28.0,Long Ball,St Truiden,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,100.0,66.66666666666666,33.33333333333333
