Model,Best Parameters,Accuracy,Precision,Recall,F1 Score,ROC AUC (ovr)
Logistic Regression,"{'model__C': 0.1, 'model__l1_ratio': 0.9, 'model__penalty': 'elasticnet'}",0.5062761506276151,0.5125982803807071,0.5062761506276151,0.5037185907240509,0.6678021801157932
Random Forest,"{'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.5230125523012552,0.517720325919401,0.5230125523012552,0.4889416299420664,0.6728401841438705
Support Vector Machine,"{'model__C': 10, 'model__kernel': 'rbf'}",0.4351464435146444,0.41966781493458183,0.4351464435146444,0.42372984135935193,0.6073957517366736
XGBoost,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 150}",0.4769874476987448,0.4717876421428498,0.4769874476987448,0.471935918143924,0.6590352922286802
Naive Bayes,{},0.5062761506276151,0.5239834876366541,0.5062761506276151,0.5028955648261917,0.6602825818876948
