Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Hour,FTR_numeric,Year,Month,Day,HomeTeam_enc,AwayTeam_enc,DayOfWeek_Num,Result,Season
B1,2019-08-04,Mouscron,Anderlecht,0,0,D,7.0,9.0,2.0,3.0,15.0,18.0,4.0,4.0,2.0,4.0,0.0,0.0,3.4,3.5,2.05,3.6,3.5,2.1,3.3,3.45,2.05,3.53,3.44,2.17,3.4,3.5,2.05,3.4,3.5,2.1,3.7,3.64,2.18,3.35,3.44,2.1,17,0,2019,8,4,11,0,1,Draw,2019-2020
B1,2019-08-04,Antwerp,Waasland-Beveren,4,1,H,15.0,10.0,11.0,6.0,20.0,11.0,6.0,4.0,0.0,2.0,0.0,0.0,1.33,5.0,9.0,1.4,5.0,8.25,1.33,4.9,8.0,1.35,5.5,8.35,1.32,5.25,8.5,1.33,5.0,9.0,1.4,5.5,9.0,1.34,5.02,8.17,19,1,2019,8,4,1,19,1,Home Win,2019-2020
B1,2019-08-09,Anderlecht,Mechelen,0,0,D,12.0,1.0,4.0,0.0,12.0,11.0,8.0,1.0,0.0,2.0,0.0,1.0,1.75,4.2,4.0,1.83,3.75,3.9,1.77,3.8,3.95,1.82,3.88,4.36,1.75,3.8,4.2,1.75,4.0,4.2,1.86,4.2,4.36,1.79,3.81,4.07,19,0,2019,8,9,0,10,6,Draw,2019-2020
B1,2019-08-10,Oostende,Club Brugge,0,2,A,8.0,10.0,4.0,8.0,11.0,17.0,3.0,6.0,0.0,0.0,0.0,0.0,7.0,4.2,1.45,6.0,4.6,1.45,5.9,4.6,1.45,6.47,5.01,1.46,6.0,4.75,1.44,6.25,4.75,1.45,7.0,5.01,1.51,6.11,4.65,1.45,17,2,2019,8,10,12,5,7,Away Win,2019-2020
B1,2019-08-10,Cercle Brugge,Kortrijk,1,3,A,13.0,11.0,6.0,9.0,17.0,18.0,2.0,3.0,1.0,1.0,0.0,0.0,2.5,3.5,2.62,2.5,3.5,2.6,2.45,3.5,2.55,2.59,3.74,2.62,2.5,3.6,2.55,2.55,3.6,2.55,2.63,3.74,2.7,2.52,3.52,2.59,19,2,2019,8,10,3,9,7,Away Win,2019-2020
B1,2019-08-10,Eupen,Waasland-Beveren,1,1,D,4.0,7.0,1.0,4.0,17.0,20.0,4.0,7.0,2.0,1.0,0.0,0.0,1.83,3.6,4.2,1.8,3.8,4.0,1.85,3.7,3.7,1.9,3.77,4.11,1.85,3.6,3.9,1.9,3.8,3.75,1.92,3.86,4.2,1.87,3.69,3.85,19,0,2019,8,10,6,19,7,Draw,2019-2020
B1,2019-08-10,Genk,Waregem,0,2,A,10.0,8.0,3.0,7.0,16.0,20.0,3.0,2.0,1.0,2.0,0.0,0.0,1.22,6.0,13.0,1.22,6.25,11.5,1.23,6.1,9.8,1.25,6.69,11.03,1.24,6.0,11.0,1.22,6.25,12.0,1.26,7.0,13.0,1.23,6.29,10.57,19,2,2019,8,10,7,20,7,Away Win,2019-2020
B1,2019-08-11,St Truiden,Standard,2,1,H,6.0,25.0,5.0,9.0,16.0,16.0,0.0,5.0,4.0,4.0,0.0,1.0,4.33,3.8,1.72,4.33,3.9,1.72,4.15,3.85,1.73,4.41,4.12,1.76,4.33,3.9,1.73,4.5,3.9,1.73,4.5,4.12,1.78,4.25,3.88,1.74,13,1,2019,8,11,16,18,1,Home Win,2019-2020
B1,2019-08-11,Charleroi,Antwerp,2,1,H,10.0,6.0,4.0,2.0,8.0,20.0,5.0,4.0,0.0,1.0,0.0,0.0,2.55,3.4,2.62,2.5,3.3,2.7,2.55,3.25,2.65,2.64,3.42,2.75,2.55,3.3,2.7,2.55,3.4,2.7,2.65,3.42,2.75,2.56,3.3,2.66,17,1,2019,8,11,4,1,1,Home Win,2019-2020
B1,2019-08-11,Mouscron,Gent,2,1,H,6.0,11.0,2.0,4.0,15.0,15.0,2.0,7.0,0.0,1.0,0.0,0.0,3.5,3.75,2.0,3.4,3.75,1.95,3.4,3.6,1.97,3.58,3.71,2.06,3.4,3.6,2.0,3.5,3.7,2.0,3.6,3.8,2.06,3.41,3.62,2.0,19,1,2019,8,11,11,8,1,Home Win,2019-2020
B1,2019-08-16,Club Brugge,Eupen,0,0,D,11.0,7.0,1.0,3.0,12.0,19.0,7.0,3.0,3.0,4.0,0.0,0.0,1.14,8.0,11.0,1.2,7.5,13.5,1.21,6.5,10.5,1.19,7.73,13.81,1.18,7.0,12.0,1.18,7.5,12.0,1.23,8.0,14.0,1.19,7.14,12.24,19,0,2019,8,16,5,6,6,Draw,2019-2020
B1,2019-08-17,Kortrijk,Anderlecht,4,2,H,8.0,9.0,5.0,5.0,15.0,21.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,3.5,2.1,3.0,3.7,2.3,2.8,3.45,2.3,2.89,3.74,2.37,2.8,3.5,2.35,2.8,3.5,2.4,3.0,3.74,2.42,2.87,3.51,2.32,17,1,2019,8,17,9,0,7,Home Win,2019-2020
B1,2019-08-17,Mechelen,Cercle Brugge,3,1,H,7.0,3.0,4.0,2.0,8.0,22.0,5.0,3.0,0.0,4.0,0.0,0.0,1.4,4.33,9.0,1.42,5.0,7.25,1.41,4.5,6.7,1.41,4.94,7.58,1.4,4.6,7.5,1.4,4.6,8.0,1.45,5.0,9.0,1.41,4.65,7.08,19,1,2019,8,17,10,3,7,Home Win,2019-2020
B1,2019-08-17,Waasland-Beveren,Genk,0,4,A,7.0,16.0,2.0,5.0,14.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,6.5,4.75,1.36,6.5,5.25,1.44,6.3,4.8,1.4,6.26,5.33,1.44,6.5,5.0,1.4,7.0,5.0,1.4,7.5,5.33,1.44,6.55,4.95,1.4,19,2,2019,8,17,19,7,7,Away Win,2019-2020
B1,2019-08-18,Standard,Mouscron,4,1,H,10.0,2.0,6.0,0.0,8.0,16.0,3.0,4.0,0.0,1.0,0.0,0.0,1.45,4.5,5.25,1.53,4.33,6.25,1.5,4.25,5.6,1.52,4.45,6.46,1.5,4.2,6.0,1.5,4.4,6.0,1.58,4.75,6.46,1.51,4.33,5.83,13,1,2019,8,18,18,11,1,Home Win,2019-2020
