Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Hour,FTR_numeric,Year,Month,Day,HomeTeam_enc,AwayTeam_enc,DayOfWeek_Num,Result,Season
B1,2020-08-24,St Truiden,Oostende,0,0,D,9.0,13.0,1.0,2.0,12.0,26.0,4.0,5.0,1.0,7.0,1.0,1.0,2.1,3.5,3.3,2.1,3.5,3.5,2.1,3.3,3.25,2.08,3.6,3.56,2.05,3.6,3.3,2.1,3.5,3.4,2.19,3.76,3.66,2.08,3.49,3.35,19,0,2020,8,24,16,12,2,Draw,2020-2021
B1,2020-08-28,Oostende,Anderlecht,2,2,D,11.0,13.0,5.0,5.0,12.0,14.0,5.0,4.0,3.0,3.0,0.0,0.0,3.5,3.75,1.95,3.5,3.75,2.0,3.45,3.45,1.97,3.56,3.77,2.01,3.6,3.7,1.91,3.5,3.7,2.0,3.92,3.9,2.04,3.51,3.67,1.98,19,0,2020,8,28,12,0,6,Draw,2020-2021
B1,2020-08-29,Eupen,St Truiden,1,1,D,5.0,17.0,3.0,4.0,25.0,14.0,4.0,5.0,4.0,4.0,1.0,0.0,2.0,3.5,3.6,2.0,3.6,3.7,2.0,3.35,3.5,2.01,3.64,3.7,2.0,3.6,3.4,2.0,3.5,3.6,2.13,3.68,3.85,2.01,3.51,3.58,15,0,2020,8,29,6,16,7,Draw,2020-2021
B1,2020-08-29,Cercle Brugge,Kortrijk,0,1,A,9.0,11.0,1.0,2.0,18.0,16.0,5.0,11.0,2.0,3.0,0.0,0.0,2.25,3.5,2.9,2.3,3.5,3.0,2.3,3.25,2.95,2.31,3.48,3.09,2.25,3.4,3.0,2.25,3.5,3.0,2.43,3.8,3.2,2.3,3.42,2.99,17,2,2020,8,29,3,9,7,Away Win,2020-2021
B1,2020-08-29,Waasland-Beveren,Oud-Heverlee Leuven,1,3,A,16.0,12.0,4.0,7.0,12.0,15.0,4.0,6.0,1.0,1.0,1.0,0.0,2.5,3.5,2.62,2.6,3.5,2.65,2.55,3.25,2.6,2.66,3.56,2.58,2.55,3.5,2.55,2.55,3.5,2.63,2.71,3.74,2.8,2.58,3.45,2.59,17,2,2020,8,29,19,13,7,Away Win,2020-2021
B1,2020-08-29,Mouscron,Waregem,0,1,A,8.0,9.0,3.0,2.0,14.0,10.0,5.0,4.0,2.0,1.0,0.0,0.0,2.87,3.4,2.37,2.8,3.4,2.5,2.7,3.25,2.45,2.8,3.47,2.5,2.7,3.4,2.45,2.75,3.5,2.45,2.88,3.78,2.57,2.75,3.42,2.46,19,2,2020,8,29,11,20,7,Away Win,2020-2021
B1,2020-08-30,Genk,Club Brugge,1,2,A,10.0,14.0,2.0,5.0,18.0,15.0,1.0,5.0,4.0,3.0,0.0,0.0,2.8,3.6,2.3,3.0,3.5,2.3,3.05,3.15,2.25,3.25,3.45,2.23,3.1,3.4,2.2,3.1,3.4,2.25,3.32,3.68,2.36,3.09,3.38,2.25,12,2,2020,8,30,7,5,1,Away Win,2020-2021
B1,2020-08-30,Beerschot VA,Standard,0,3,A,20.0,14.0,5.0,8.0,14.0,12.0,7.0,5.0,3.0,1.0,0.0,0.0,2.9,3.5,2.25,2.95,3.5,2.35,2.9,3.3,2.3,3.02,3.46,2.35,2.9,3.4,2.3,3.0,3.4,2.3,3.14,3.6,2.46,2.94,3.42,2.31,15,2,2020,8,30,2,18,1,Away Win,2020-2021
B1,2020-08-30,Charleroi,Antwerp,2,0,H,17.0,9.0,8.0,2.0,12.0,6.0,5.0,3.0,4.0,3.0,0.0,1.0,2.1,3.4,3.3,2.2,3.5,3.2,2.2,3.25,3.15,2.19,3.49,3.32,2.15,3.5,3.1,2.2,3.4,3.25,2.31,3.7,3.35,2.19,3.4,3.2,17,1,2020,8,30,4,1,1,Home Win,2020-2021
B1,2020-08-30,Gent,Mechelen,1,0,H,15.0,13.0,7.0,3.0,15.0,16.0,3.0,2.0,2.0,1.0,0.0,0.0,1.66,4.0,4.33,1.72,4.1,4.4,1.73,3.7,4.2,1.78,3.97,4.37,1.7,3.9,4.4,1.73,3.9,4.4,1.8,4.2,4.75,1.74,3.91,4.3,19,1,2020,8,30,8,10,1,Home Win,2020-2021
B1,2020-09-11,Eupen,Gent,2,1,H,17.0,19.0,7.0,6.0,8.0,19.0,4.0,5.0,3.0,3.0,0.0,1.0,3.1,3.75,2.15,3.1,3.6,2.2,3.05,3.3,2.2,3.19,3.62,2.25,3.5,3.5,2.0,3.13,3.5,2.2,3.73,3.75,2.25,3.14,3.48,2.19,19,1,2020,9,11,6,8,6,Home Win,2020-2021
B1,2020-09-12,Mechelen,Oostende,0,1,A,4.0,11.0,0.0,3.0,19.0,16.0,5.0,10.0,5.0,2.0,0.0,0.0,1.8,3.75,4.2,1.83,3.7,4.25,1.85,3.55,3.8,1.89,3.84,4.06,1.85,3.6,3.9,1.85,3.8,3.9,1.9,4.04,4.2,1.86,3.71,3.87,15,2,2020,9,12,10,12,7,Away Win,2020-2021
B1,2020-09-12,Oud-Heverlee Leuven,Standard,1,0,H,12.0,17.0,3.0,3.0,19.0,16.0,1.0,3.0,2.0,4.0,0.0,1.0,5.0,3.8,1.65,5.0,3.8,1.7,4.9,3.45,1.7,5.25,3.7,1.74,5.25,3.6,1.67,5.25,3.75,1.67,5.4,4.0,1.74,5.04,3.63,1.69,17,1,2020,9,12,13,18,7,Home Win,2020-2021
B1,2020-09-12,Club Brugge,Waasland-Beveren,4,1,H,18.0,7.0,9.0,4.0,17.0,4.0,5.0,2.0,1.0,2.0,0.0,0.0,1.16,7.5,13.0,1.14,8.25,19.0,1.15,7.5,17.0,1.13,9.29,23.78,1.12,7.5,21.0,1.12,8.5,21.0,1.17,9.77,23.78,1.13,8.1,18.06,19,1,2020,9,12,5,19,7,Home Win,2020-2021
B1,2020-09-13,Anderlecht,Cercle Brugge,2,0,H,15.0,8.0,6.0,1.0,11.0,20.0,7.0,3.0,1.0,4.0,0.0,0.0,1.44,4.5,6.5,1.45,4.75,6.75,1.53,4.1,5.75,1.5,4.61,6.54,1.47,4.33,6.5,1.45,4.5,6.5,1.55,4.77,6.54,1.48,4.43,6.02,12,1,2020,9,13,0,3,1,Home Win,2020-2021
B1,2020-09-13,St Truiden,Antwerp,2,3,A,10.0,14.0,3.0,6.0,15.0,16.0,3.0,4.0,3.0,4.0,1.0,1.0,4.0,3.8,1.8,4.1,3.9,1.83,3.8,3.5,1.9,4.0,3.9,1.89,3.8,3.7,1.85,4.0,3.7,1.85,4.11,3.9,1.93,3.87,3.71,1.86,15,2,2020,9,13,16,1,1,Away Win,2020-2021
B1,2020-09-13,Waregem,Charleroi,0,2,A,8.0,11.0,1.0,4.0,13.0,12.0,3.0,2.0,0.0,1.0,0.0,0.0,3.5,3.6,2.0,3.6,3.5,2.05,3.45,3.25,2.05,3.71,3.45,2.11,3.5,3.5,2.0,3.4,3.6,2.05,3.71,3.77,2.11,3.48,3.43,2.05,17,2,2020,9,13,20,4,1,Away Win,2020-2021
B1,2020-09-13,Kortrijk,Mouscron,3,0,H,17.0,9.0,8.0,2.0,15.0,9.0,8.0,1.0,2.0,2.0,0.0,2.0,1.85,3.8,3.8,1.87,3.9,3.9,1.83,3.55,3.9,1.85,3.9,4.16,1.85,3.6,3.9,1.87,3.7,3.9,1.94,3.9,4.16,1.85,3.7,3.92,19,1,2020,9,13,9,11,1,Home Win,2020-2021
B1,2020-09-14,Beerschot VA,Genk,5,2,H,12.0,6.0,7.0,3.0,16.0,17.0,5.0,3.0,0.0,4.0,0.0,2.0,3.25,3.75,2.05,3.2,3.5,2.2,3.0,3.4,2.2,3.17,3.75,2.24,3.0,3.6,2.2,3.1,3.7,2.2,3.39,3.84,2.28,3.09,3.6,2.18,19,1,2020,9,14,2,7,2,Home Win,2020-2021
B1,2020-09-18,Charleroi,Beerschot VA,3,1,H,14.0,11.0,4.0,2.0,11.0,11.0,7.0,1.0,0.0,1.0,0.0,0.0,1.66,3.75,5.0,1.75,3.6,5.0,1.73,3.5,4.7,1.75,3.76,5.19,1.67,3.7,5.0,1.67,3.9,4.8,1.76,3.95,5.3,1.71,3.7,4.83,19,1,2020,9,18,4,2,6,Home Win,2020-2021
B1,2020-09-19,Oostende,Oud-Heverlee Leuven,3,1,H,17.0,15.0,4.0,6.0,19.0,11.0,11.0,2.0,4.0,2.0,0.0,0.0,2.0,3.5,3.6,2.1,3.6,3.4,2.1,3.4,3.25,2.09,3.72,3.41,2.05,3.6,3.3,2.05,3.6,3.4,2.12,3.75,3.6,2.06,3.59,3.32,15,1,2020,9,19,12,13,7,Home Win,2020-2021
B1,2020-09-19,Mouscron,Gent,0,1,A,15.0,14.0,3.0,7.0,12.0,5.0,11.0,3.0,3.0,0.0,0.0,0.0,4.33,3.75,1.75,4.33,3.75,1.8,4.2,3.65,1.77,4.39,3.85,1.81,4.33,3.7,1.75,4.2,3.75,1.8,4.39,3.92,1.84,4.23,3.73,1.79,17,2,2020,9,19,11,8,7,Away Win,2020-2021
B1,2020-09-19,Waasland-Beveren,Anderlecht,2,4,A,14.0,17.0,6.0,7.0,16.0,11.0,5.0,7.0,4.0,1.0,0.0,0.0,6.25,4.2,1.5,6.25,4.2,1.53,5.75,4.3,1.5,6.04,4.56,1.52,5.8,4.33,1.5,6.0,4.4,1.5,6.25,4.6,1.54,5.79,4.44,1.5,19,2,2020,9,19,19,0,7,Away Win,2020-2021
B1,2020-09-20,Waregem,Club Brugge,0,6,A,9.0,14.0,4.0,7.0,10.0,12.0,2.0,4.0,1.0,1.0,0.0,0.0,6.25,4.2,1.5,6.25,4.25,1.53,5.75,4.2,1.53,6.21,4.44,1.53,6.0,4.33,1.5,6.0,4.4,1.5,6.25,4.5,1.55,5.81,4.36,1.51,12,2,2020,9,20,20,5,1,Away Win,2020-2021
B1,2020-09-20,Standard,Kortrijk,2,1,H,16.0,2.0,5.0,1.0,17.0,21.0,6.0,3.0,0.0,3.0,0.0,0.0,1.53,4.33,5.5,1.57,4.2,5.75,1.57,3.9,5.25,1.58,4.02,6.23,1.52,4.0,6.0,1.55,4.2,5.75,1.62,4.33,6.24,1.56,4.05,5.62,15,1,2020,9,20,18,9,1,Home Win,2020-2021
B1,2020-09-20,Genk,Mechelen,3,1,H,11.0,18.0,4.0,5.0,11.0,17.0,1.0,4.0,0.0,1.0,0.0,0.0,1.61,4.2,4.75,1.7,4.0,4.75,1.67,3.9,4.5,1.71,4.08,4.75,1.67,3.9,4.6,1.65,4.1,4.8,1.72,4.2,4.8,1.68,3.98,4.59,17,1,2020,9,20,7,10,1,Home Win,2020-2021
B1,2020-09-20,Antwerp,Eupen,2,2,D,16.0,11.0,5.0,3.0,6.0,15.0,9.0,4.0,2.0,6.0,0.0,0.0,1.65,4.2,4.75,1.72,3.6,5.25,1.7,3.5,4.9,1.71,3.67,5.45,1.63,3.75,5.25,1.65,3.8,5.25,1.73,4.2,5.5,1.68,3.7,5.01,19,0,2020,9,20,1,6,1,Draw,2020-2021
B1,2020-09-21,Cercle Brugge,St Truiden,3,0,H,13.0,14.0,6.0,2.0,15.0,17.0,5.0,4.0,1.0,3.0,0.0,0.0,2.05,3.6,3.3,2.1,3.4,3.3,2.15,3.25,3.2,2.2,3.45,3.39,2.1,3.5,3.2,2.05,3.7,3.25,2.2,3.72,3.4,2.14,3.43,3.25,19,1,2020,9,21,3,16,2,Home Win,2020-2021
B1,2020-09-25,Kortrijk,Antwerp,1,3,A,15.0,14.0,5.0,3.0,24.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,3.1,3.6,2.2,3.0,3.5,2.3,2.95,3.25,2.25,3.12,3.69,2.29,3.0,3.4,2.25,3.0,3.5,2.25,3.12,3.69,2.31,3.01,3.5,2.25,19,2,2020,9,25,9,1,6,Away Win,2020-2021
B1,2020-09-26,Beerschot VA,Waasland-Beveren,3,2,H,19.0,5.0,6.0,3.0,16.0,9.0,10.0,0.0,1.0,2.0,0.0,0.0,1.45,4.5,6.5,1.45,4.75,6.5,1.43,4.5,6.25,1.43,4.98,7.55,1.42,4.5,7.0,1.44,4.75,6.5,1.47,5.0,7.55,1.43,4.7,6.64,15,1,2020,9,26,2,19,7,Home Win,2020-2021
B1,2020-09-26,Mechelen,St Truiden,2,0,H,13.0,7.0,5.0,2.0,16.0,16.0,3.0,6.0,3.0,6.0,0.0,0.0,1.75,4.0,4.2,1.75,4.1,4.25,1.73,3.8,4.1,1.75,4.35,4.39,1.78,3.9,4.0,1.75,3.9,4.33,1.83,4.35,4.39,1.73,4.03,4.2,17,1,2020,9,26,10,16,7,Home Win,2020-2021
B1,2020-09-26,Gent,Oud-Heverlee Leuven,2,3,A,24.0,10.0,6.0,3.0,10.0,11.0,8.0,4.0,2.0,3.0,0.0,0.0,1.44,4.75,6.0,1.45,5.0,6.25,1.43,4.5,6.0,1.46,5.25,6.45,1.44,4.6,6.5,1.44,4.75,6.5,1.48,5.25,6.7,1.43,4.82,6.22,19,2,2020,9,26,8,13,7,Away Win,2020-2021
B1,2020-09-27,Standard,Waregem,2,2,D,16.0,5.0,4.0,2.0,11.0,26.0,7.0,2.0,2.0,3.0,0.0,0.0,1.5,4.0,7.0,1.5,4.4,6.5,1.5,4.2,6.0,1.5,4.98,6.16,1.44,4.6,6.5,1.45,4.6,6.5,1.51,4.98,7.0,1.47,4.55,6.07,12,0,2020,9,27,18,20,1,Draw,2020-2021
B1,2020-09-27,Anderlecht,Eupen,1,1,D,6.0,8.0,3.0,5.0,12.0,20.0,9.0,5.0,2.0,4.0,0.0,0.0,1.6,4.0,5.25,1.62,4.0,5.5,1.63,3.75,5.0,1.65,4.06,5.65,1.6,4.0,5.25,1.62,4.0,5.25,1.65,4.2,5.65,1.61,3.96,5.18,15,0,2020,9,27,0,6,1,Draw,2020-2021
B1,2020-09-27,Club Brugge,Cercle Brugge,2,1,H,21.0,10.0,5.0,1.0,10.0,10.0,8.0,5.0,1.0,2.0,0.0,0.0,1.2,6.0,12.0,1.22,6.75,12.5,1.22,6.0,10.0,1.21,6.67,12.96,1.2,6.5,13.0,1.2,6.5,13.0,1.26,7.07,13.09,1.21,6.39,11.7,17,1,2020,9,27,5,3,1,Home Win,2020-2021
B1,2020-09-27,Mouscron,Charleroi,1,1,D,7.0,19.0,2.0,6.0,6.0,6.0,0.0,6.0,1.0,1.0,0.0,0.0,5.0,3.6,1.72,5.25,3.6,1.72,4.8,3.45,1.73,5.26,3.73,1.75,5.0,3.7,1.67,4.75,3.7,1.73,5.26,3.81,1.79,4.77,3.59,1.73,19,0,2020,9,27,11,4,1,Draw,2020-2021
B1,2020-09-28,Genk,Oostende,2,2,D,11.0,17.0,5.0,11.0,7.0,22.0,6.0,5.0,1.0,5.0,1.0,0.0,1.5,4.33,6.0,1.55,4.2,6.0,1.55,4.0,5.25,1.56,4.3,6.32,1.47,4.2,6.5,1.53,4.2,6.0,1.59,4.55,6.5,1.53,4.2,5.69,19,0,2020,9,28,7,12,2,Draw,2020-2021
B1,2020-10-02,Antwerp,Mechelen,4,1,H,11.0,15.0,6.0,5.0,8.0,13.0,4.0,6.0,1.0,2.0,0.0,0.0,1.83,4.0,3.75,1.9,3.7,4.0,1.9,3.4,3.8,1.93,3.77,4.08,1.91,3.5,3.8,1.87,3.7,3.9,2.0,4.0,4.08,1.89,3.65,3.86,19,1,2020,10,2,1,10,6,Home Win,2020-2021
B1,2020-10-03,Waasland-Beveren,Genk,1,1,D,18.0,13.0,8.0,2.0,10.0,12.0,4.0,6.0,3.0,3.0,0.0,0.0,5.25,4.75,1.45,5.5,4.6,1.53,5.25,4.3,1.53,5.96,4.79,1.53,6.0,4.4,1.47,5.75,4.6,1.5,6.0,4.81,1.56,5.57,4.56,1.5,15,0,2020,10,3,19,7,7,Draw,2020-2021
B1,2020-10-03,Eupen,Cercle Brugge,1,2,A,10.0,16.0,3.0,6.0,12.0,12.0,8.0,3.0,5.0,4.0,0.0,0.0,2.0,3.6,3.5,2.05,3.4,3.7,2.0,3.2,3.6,2.05,3.43,4.0,2.05,3.3,3.6,2.05,3.4,3.6,2.14,3.6,4.0,2.02,3.38,3.66,17,2,2020,10,3,6,3,7,Away Win,2020-2021
B1,2020-10-03,Oud-Heverlee Leuven,Waregem,2,1,H,12.0,21.0,7.0,3.0,13.0,7.0,9.0,9.0,1.0,0.0,0.0,0.0,2.37,3.75,2.75,2.45,3.7,2.7,2.45,3.35,2.65,2.56,3.64,2.76,2.4,3.5,2.7,2.45,3.5,2.75,2.56,3.76,2.8,2.45,3.53,2.69,17,1,2020,10,3,13,20,7,Home Win,2020-2021
B1,2020-10-03,St Truiden,Kortrijk,0,0,D,23.0,5.0,4.0,2.0,15.0,17.0,9.0,4.0,3.0,2.0,0.0,1.0,2.8,3.6,2.3,2.8,3.5,2.45,2.75,3.3,2.4,2.89,3.68,2.44,2.62,3.3,2.6,2.8,3.5,2.38,2.89,3.68,2.45,2.8,3.5,2.37,19,0,2020,10,3,16,9,7,Draw,2020-2021
B1,2020-10-04,Club Brugge,Anderlecht,3,0,H,22.0,5.0,6.0,2.0,18.0,15.0,8.0,1.0,1.0,4.0,0.0,1.0,1.57,4.2,5.25,1.6,4.1,5.5,1.6,3.85,5.25,1.6,4.07,6.24,1.55,3.9,5.8,1.57,4.1,5.5,1.63,4.22,6.24,1.58,4.01,5.43,12,1,2020,10,4,5,0,1,Home Win,2020-2021
B1,2020-10-04,Gent,Beerschot VA,5,1,H,22.0,20.0,6.0,7.0,11.0,13.0,6.0,5.0,1.0,1.0,0.0,0.0,1.75,3.8,4.33,1.75,4.0,4.33,1.75,3.65,4.2,1.79,4.02,4.5,1.83,3.6,4.0,1.8,3.8,4.2,1.86,4.02,4.5,1.76,3.85,4.23,15,1,2020,10,4,8,2,1,Home Win,2020-2021
B1,2020-10-04,Charleroi,Standard,1,2,A,7.0,10.0,2.0,5.0,8.0,12.0,7.0,8.0,2.0,3.0,0.0,0.0,2.2,3.6,3.0,2.3,3.4,3.1,2.3,3.05,3.05,2.42,3.28,3.23,2.3,3.25,3.1,2.3,3.3,3.1,2.43,3.6,3.23,2.3,3.27,3.06,17,2,2020,10,4,4,18,1,Away Win,2020-2021
B1,2020-10-04,Oostende,Mouscron,3,0,H,16.0,4.0,5.0,1.0,10.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,1.72,3.8,4.2,1.78,3.75,4.5,1.77,3.5,4.3,1.83,3.72,4.66,1.85,3.6,4.0,1.8,3.7,4.33,1.85,3.88,4.66,1.79,3.66,4.29,19,1,2020,10,4,12,11,1,Home Win,2020-2021
B1,2020-10-17,Cercle Brugge,Gent,5,2,H,14.0,17.0,9.0,6.0,7.0,12.0,5.0,9.0,0.0,0.0,0.0,0.0,3.25,4.0,2.0,3.3,3.8,2.05,3.25,3.5,2.05,3.46,3.96,2.05,3.3,3.6,2.05,3.25,3.8,2.05,3.46,4.0,2.11,3.29,3.75,2.02,15,1,2020,10,17,3,8,7,Home Win,2020-2021
B1,2020-10-17,Beerschot VA,St Truiden,6,3,H,15.0,12.0,7.0,5.0,14.0,16.0,4.0,4.0,0.0,4.0,0.0,0.0,1.66,4.0,4.33,1.75,3.8,4.6,1.73,3.65,4.4,1.78,3.88,4.77,1.7,3.8,4.5,1.7,4.0,4.5,1.78,4.15,4.9,1.72,3.82,4.49,17,1,2020,10,17,2,16,7,Home Win,2020-2021
B1,2020-10-17,Mechelen,Kortrijk,1,2,A,19.0,12.0,6.0,6.0,12.0,7.0,7.0,6.0,2.0,1.0,1.0,0.0,2.0,3.75,3.5,2.0,3.6,3.7,1.97,3.4,3.5,2.0,3.66,3.9,2.05,3.4,3.5,2.0,3.6,3.5,2.11,3.75,3.9,1.99,3.54,3.57,17,2,2020,10,17,10,9,7,Away Win,2020-2021
B1,2020-10-17,Standard,Club Brugge,1,1,D,13.0,9.0,4.0,3.0,11.0,16.0,8.0,5.0,2.0,3.0,0.0,0.0,3.5,3.5,2.0,3.6,3.5,2.05,3.5,3.3,2.05,3.83,3.59,2.04,3.6,3.3,2.05,3.4,3.6,2.05,3.83,3.64,2.11,3.54,3.47,2.02,19,0,2020,10,17,18,5,7,Draw,2020-2021
B1,2020-10-18,Waregem,Antwerp,1,3,A,15.0,22.0,6.0,12.0,6.0,9.0,3.0,9.0,1.0,1.0,0.0,0.0,3.2,3.6,2.0,3.25,3.75,2.1,3.1,3.7,2.05,3.19,4.23,2.09,3.25,3.6,2.05,3.2,3.7,2.1,3.28,4.23,2.12,3.14,3.87,2.05,12,2,2020,10,18,20,1,1,Away Win,2020-2021
B1,2020-10-18,Mouscron,Eupen,0,2,A,17.0,13.0,6.0,6.0,9.0,15.0,5.0,4.0,3.0,1.0,0.0,0.0,3.0,3.6,2.2,3.4,3.7,2.05,3.25,3.4,2.1,3.46,3.81,2.1,3.25,3.4,2.15,3.2,3.4,2.2,3.46,3.81,2.2,3.26,3.55,2.09,15,2,2020,10,18,11,6,1,Away Win,2020-2021
B1,2020-10-18,Genk,Charleroi,2,1,H,11.0,14.0,6.0,5.0,21.0,15.0,4.0,5.0,4.0,2.0,1.0,0.0,2.5,3.5,2.7,2.6,3.5,2.65,2.55,3.2,2.65,2.64,3.4,2.82,2.5,3.3,2.7,2.5,3.5,2.7,2.64,3.65,2.82,2.53,3.37,2.68,17,1,2020,10,18,7,4,1,Home Win,2020-2021
B1,2020-10-18,Anderlecht,Oud-Heverlee Leuven,2,2,D,21.0,18.0,4.0,6.0,10.0,16.0,3.0,8.0,1.0,2.0,0.0,0.0,1.5,4.33,6.0,1.53,4.6,5.5,1.53,4.2,5.5,1.55,4.45,6.16,1.5,4.2,6.0,1.5,4.5,5.5,1.55,4.6,6.37,1.51,4.37,5.66,19,0,2020,10,18,0,13,1,Draw,2020-2021
B1,2020-10-23,Kortrijk,Anderlecht,1,3,A,14.0,16.0,3.0,7.0,10.0,20.0,4.0,3.0,0.0,2.0,0.0,0.0,3.5,3.6,2.0,3.5,3.6,2.05,3.3,3.45,2.05,3.61,3.67,2.09,3.1,3.3,2.25,3.25,3.6,2.1,3.65,3.74,2.13,3.42,3.53,2.05,19,2,2020,10,23,9,0,6,Away Win,2020-2021
B1,2020-10-24,Oud-Heverlee Leuven,Club Brugge,2,1,H,12.0,20.0,6.0,10.0,14.0,14.0,4.0,4.0,2.0,3.0,0.0,0.0,6.5,4.5,1.45,6.5,4.75,1.45,6.0,4.3,1.47,7.06,4.82,1.46,6.5,4.2,1.47,6.5,4.6,1.45,7.06,4.82,1.5,6.23,4.54,1.46,19,1,2020,10,24,13,5,7,Home Win,2020-2021
B1,2020-10-25,Antwerp,Beerschot VA,3,2,H,11.0,11.0,3.0,2.0,10.0,11.0,8.0,6.0,4.0,2.0,0.0,0.0,1.85,4.0,3.75,1.91,3.6,4.0,1.9,3.45,3.8,1.93,3.7,4.18,1.83,3.7,3.9,1.9,3.8,3.75,1.95,4.03,4.18,1.89,3.68,3.83,12,1,2020,10,25,1,2,1,Home Win,2020-2021
B1,2020-10-25,Oostende,Waregem,3,0,H,15.0,22.0,9.0,4.0,14.0,13.0,4.0,10.0,1.0,1.0,0.0,0.0,1.83,3.75,4.0,1.87,3.8,3.9,1.9,3.65,3.55,1.91,4.14,3.8,1.85,3.8,3.7,1.87,3.9,3.75,1.93,4.14,4.0,1.87,3.87,3.66,15,1,2020,10,25,12,20,1,Home Win,2020-2021
B1,2020-10-25,St Truiden,Standard,2,0,H,9.0,10.0,2.0,4.0,12.0,13.0,4.0,3.0,1.0,1.0,0.0,0.0,4.5,4.0,1.75,4.4,4.0,1.75,4.2,3.7,1.75,4.33,4.18,1.79,4.33,3.75,1.75,4.4,3.8,1.75,4.5,4.23,1.82,4.26,3.9,1.74,17,1,2020,10,25,16,18,1,Home Win,2020-2021
B1,2020-10-26,Gent,Genk,1,2,A,16.0,8.0,6.0,3.0,15.0,10.0,8.0,3.0,1.0,2.0,0.0,0.0,1.85,3.8,3.75,1.95,3.6,3.8,1.95,3.45,3.5,2.03,3.7,3.69,1.95,3.6,3.6,1.95,3.75,3.6,2.05,3.99,3.75,1.96,3.63,3.54,19,2,2020,10,26,8,7,2,Away Win,2020-2021
B1,2020-10-30,Genk,Eupen,4,0,H,14.0,15.0,8.0,4.0,12.0,12.0,3.0,6.0,1.0,2.0,0.0,0.0,1.8,3.8,3.75,1.87,3.9,3.9,1.85,3.55,3.8,1.88,3.98,4.06,1.75,3.8,4.2,1.83,3.8,4.0,1.89,3.98,4.18,1.85,3.75,3.89,19,1,2020,10,30,7,6,6,Home Win,2020-2021
B1,2020-10-31,Beerschot VA,Oud-Heverlee Leuven,4,2,H,18.0,18.0,9.0,5.0,19.0,11.0,7.0,5.0,5.0,1.0,0.0,0.0,1.83,4.0,3.6,1.9,4.1,3.6,1.85,3.8,3.6,1.86,4.24,3.91,1.91,3.8,3.5,1.85,4.1,3.6,1.94,4.24,3.91,1.85,4.04,3.64,15,1,2020,10,31,2,13,7,Home Win,2020-2021
B1,2020-10-31,Charleroi,Cercle Brugge,3,0,H,20.0,9.0,9.0,3.0,18.0,8.0,11.0,1.0,2.0,1.0,0.0,0.0,1.5,4.2,6.5,1.5,4.5,6.25,1.53,4.0,5.75,1.55,4.43,6.28,1.47,4.2,6.5,1.5,4.4,6.0,1.55,4.58,6.5,1.52,4.28,5.89,17,1,2020,10,31,4,3,7,Home Win,2020-2021
B1,2020-10-31,Club Brugge,Mechelen,2,2,D,14.0,10.0,5.0,7.0,15.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,1.25,5.5,11.0,1.28,6.0,10.0,1.25,5.75,10.0,1.27,6.17,11.6,1.3,5.0,9.5,1.25,6.0,10.5,1.33,6.54,11.6,1.26,5.87,10.35,19,0,2020,10,31,5,10,7,Draw,2020-2021
B1,2020-11-01,Anderlecht,Antwerp,1,0,H,14.0,15.0,4.0,6.0,8.0,9.0,4.0,6.0,0.0,3.0,0.0,0.0,2.05,3.4,3.5,2.15,3.4,3.4,2.15,3.25,3.25,2.17,3.6,3.44,2.1,3.4,3.3,2.15,3.5,3.25,2.28,3.66,3.5,2.13,3.45,3.28,12,1,2020,11,1,0,1,1,Home Win,2020-2021
B1,2020-11-01,Standard,Oostende,1,0,H,13.0,10.0,2.0,2.0,13.0,19.0,9.0,4.0,1.0,3.0,0.0,0.0,1.72,4.0,4.33,1.75,3.8,4.6,1.73,3.55,4.5,1.76,3.91,4.88,1.73,3.6,4.6,1.75,3.75,4.5,1.78,4.0,4.89,1.74,3.73,4.52,17,1,2020,11,1,18,12,1,Home Win,2020-2021
B1,2020-11-01,Waasland-Beveren,Gent,1,4,A,14.0,16.0,4.0,9.0,10.0,8.0,7.0,3.0,4.0,0.0,0.0,0.0,5.75,4.75,1.44,5.75,4.75,1.45,5.75,4.5,1.47,6.36,4.69,1.51,6.5,4.4,1.44,6.5,4.8,1.44,6.5,4.86,1.51,5.93,4.64,1.47,19,2,2020,11,1,19,8,1,Away Win,2020-2021
B1,2020-11-02,Waregem,Kortrijk,1,1,D,8.0,16.0,2.0,5.0,20.0,8.0,3.0,9.0,2.0,0.0,1.0,0.0,2.4,3.75,2.7,2.4,3.6,2.65,2.4,3.45,2.65,2.4,3.81,2.82,2.4,3.5,2.7,2.45,3.6,2.7,2.49,3.81,2.82,2.38,3.63,2.7,19,0,2020,11,2,20,9,2,Draw,2020-2021
