Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
B1,18/08/2019,19:00,Gent,Oostende,2,0,1,0.0,0.0,D,11.0,5.0,4.0,2.0,6.0,15.0,5.0,4.0,0.0,1.0,0.0,0.0,1.33,5.5,7.5
B1,19/08/2019,19:30,Waregem,Charleroi,3,1,1,1.0,0.0,H,5.0,4.0,3.0,2.0,13.0,15.0,3.0,5.0,2.0,1.0,0.0,0.0,2.8,3.3,2.3
B1,23/08/2019,19:30,Genk,Anderlecht,1,0,1,0.0,0.0,D,6.0,8.0,4.0,2.0,8.0,16.0,5.0,10.0,0.0,1.0,0.0,0.0,1.72,3.8,4.5
B1,24/08/2019,19:00,Cercle Brugge,Waasland-Beveren,1,0,1,0.0,0.0,D,7.0,10.0,2.0,2.0,13.0,8.0,3.0,7.0,2.0,1.0,0.0,0.0,2.0,3.6,3.5
B1,24/08/2019,19:00,St Truiden,Waregem,0,0,2,0.0,0.0,D,13.0,8.0,2.0,2.0,15.0,15.0,5.0,4.0,2.0,1.0,0.0,0.0,2.25,3.5,3.0
B1,24/08/2019,19:30,Oostende,Mechelen,2,1,1,0.0,0.0,D,13.0,11.0,8.0,6.0,18.0,12.0,6.0,9.0,2.0,3.0,0.0,0.0,3.1,3.5,2.2
B1,25/08/2019,17:00,Standard,Kortrijk,2,1,1,0.0,1.0,A,8.0,6.0,5.0,2.0,9.0,18.0,7.0,3.0,2.0,3.0,1.0,0.0,1.5,4.5,5.75
B1,25/08/2019,19:00,Mouscron,Eupen,2,0,1,1.0,0.0,H,5.0,6.0,4.0,2.0,17.0,11.0,6.0,6.0,3.0,3.0,0.0,0.0,1.72,3.75,4.5
B1,30/08/2019,19:30,Mechelen,Mouscron,2,2,2,2.0,1.0,H,8.0,10.0,4.0,5.0,13.0,16.0,5.0,7.0,1.0,1.0,0.0,0.0,1.95,3.75,3.5
B1,31/08/2019,17:00,Eupen,St Truiden,0,2,0,0.0,1.0,A,16.0,10.0,6.0,3.0,14.0,7.0,7.0,1.0,2.0,1.0,0.0,0.0,2.3,3.6,2.8
B1,31/08/2019,19:00,Kortrijk,Oostende,2,2,2,0.0,1.0,A,6.0,12.0,3.0,3.0,16.0,15.0,7.0,1.0,1.0,1.0,0.0,0.0,2.05,3.6,3.4
B1,31/08/2019,19:30,Waasland-Beveren,Charleroi,0,4,0,0.0,1.0,A,5.0,7.0,1.0,6.0,18.0,11.0,7.0,4.0,1.0,0.0,0.0,0.0,4.0,3.75,1.83
B1,01/09/2019,13:30,Club Brugge,Genk,1,1,2,1.0,0.0,H,10.0,13.0,5.0,3.0,16.0,13.0,6.0,5.0,2.0,4.0,0.0,0.0,1.75,3.75,4.33
B1,01/09/2019,17:00,Anderlecht,Standard,1,0,1,1.0,0.0,H,10.0,11.0,4.0,5.0,15.0,12.0,1.0,3.0,2.0,2.0,0.0,0.0,2.05,3.6,3.4
B1,01/09/2019,19:00,Gent,Cercle Brugge,3,2,1,3.0,1.0,H,17.0,7.0,8.0,3.0,12.0,16.0,4.0,2.0,1.0,4.0,0.0,0.0,1.28,6.0,8.5
B1,01/09/2019,19:00,Waregem,Antwerp,2,0,1,2.0,0.0,H,10.0,3.0,4.0,2.0,7.0,16.0,5.0,6.0,0.0,2.0,0.0,0.0,2.7,3.8,2.3
B1,13/09/2019,19:30,Charleroi,Genk,2,1,1,2.0,0.0,H,3.0,11.0,3.0,4.0,14.0,8.0,1.0,3.0,6.0,1.0,0.0,0.0,2.7,3.6,2.37
B1,14/09/2019,17:00,Oostende,Standard,1,4,0,1.0,1.0,D,4.0,10.0,3.0,8.0,11.0,10.0,2.0,9.0,0.0,2.0,0.0,0.0,4.33,4.2,1.66
B1,14/09/2019,19:00,Eupen,Waregem,1,1,2,0.0,1.0,A,9.0,4.0,2.0,2.0,18.0,20.0,5.0,2.0,3.0,2.0,0.0,1.0,2.75,3.75,2.3
B1,14/09/2019,19:00,St Truiden,Waasland-Beveren,1,1,2,0.0,0.0,D,4.0,12.0,2.0,4.0,12.0,11.0,6.0,9.0,2.0,1.0,0.0,0.0,1.6,4.2,5.0
B1,14/09/2019,19:30,Cercle Brugge,Club Brugge,0,2,0,0.0,1.0,A,11.0,8.0,4.0,4.0,13.0,6.0,3.0,9.0,1.0,2.0,0.0,0.0,8.5,6.0,1.28
B1,15/09/2019,13:30,Anderlecht,Antwerp,1,2,0,0.0,0.0,D,10.0,13.0,2.0,8.0,13.0,13.0,11.0,4.0,4.0,4.0,1.0,0.0,2.0,3.6,3.5
B1,15/09/2019,17:00,Gent,Mechelen,3,0,1,3.0,0.0,H,13.0,4.0,9.0,0.0,10.0,9.0,7.0,4.0,1.0,3.0,0.0,0.0,1.5,4.33,6.0
